patient_id,image_id,pixel_foreground,total_pixel
1768.jpg,1768.jpg,21160,155520
1878.jpg,1878.jpg,15888,106240
1772.jpg,1772.jpg,1705,145604
1891.jpg,1891.jpg,141248,602605
1838.jpg,1838.jpg,17427,100165
1874.jpg,1874.jpg,19746,133660
1925.jpg,1925.jpg,54391,136372
1735.jpg,1735.jpg,4768,158530
1904.jpg,1904.jpg,27503,135300
1929.jpg,1929.jpg,42101,116314
1869.jpg,1869.jpg,8798,129766
1739.jpg,1739.jpg,3402,133900
1837.jpg,1837.jpg,16349,106020
1821.jpg,1821.jpg,3723,75852
1888.jpg,1888.jpg,61890,141570
1786.jpg,1786.jpg,58296,136940
1870.jpg,1870.jpg,16476,155928
1820.jpg,1820.jpg,50966,112669
1871.jpg,1871.jpg,18293,139629
1958.jpg,1958.jpg,16538,159418
1814.jpg,1814.jpg,3838,100300
1737.jpg,1737.jpg,25177,114582
2020.jpg,2020.jpg,23096,584550
1995.jpg,1995.jpg,71332,129276
2008.jpg,2008.jpg,6756,134890
1999.jpg,1999.jpg,12112,173038
2123.jpg,2123.jpg,3989,167040
2143.jpg,2143.jpg,1711,127566
2060.jpg,2060.jpg,56310,720060
2158.jpg,2158.jpg,4560,123396
2185.jpg,2185.jpg,27898,135456
1969.jpg,1969.jpg,53590,146692
2038.jpg,2038.jpg,3251,76884
2126.jpg,2126.jpg,11613,117640
2066.jpg,2066.jpg,8063,93058
2078.jpg,2078.jpg,23753,810324
2208.jpg,2208.jpg,119141,909168
2042.jpg,2042.jpg,6007,151281
1994.jpg,1994.jpg,52156,127500
1961.jpg,1961.jpg,10162,135864
2194.jpg,2194.jpg,10783,160218
2131.jpg,2131.jpg,2107,141440
1993.jpg,1993.jpg,14845,166492
1968.jpg,1968.jpg,30931,86718
2076.jpg,2076.jpg,5758,125800
2205.jpg,2205.jpg,198194,827680
1987.jpg,1987.jpg,127207,541803
2067.jpg,2067.jpg,10619,145812
2083.jpg,2083.jpg,21698,138918
2199.jpg,2199.jpg,12670,151983
2174.jpg,2174.jpg,52524,191730
2019.jpg,2019.jpg,20045,804090
2105.jpg,2105.jpg,1982,85550
2136.jpg,2136.jpg,24234,127380
2142.jpg,2142.jpg,5574,127125
2170.jpg,2170.jpg,25097,192228
2163.jpg,2163.jpg,16027,135788
2207.jpg,2207.jpg,141566,916725
2030.jpg,2030.jpg,145628,887028
2028.jpg,2028.jpg,13934,139668
2017.jpg,2017.jpg,7342,138507
2041.jpg,2041.jpg,4475,149818
2119.jpg,2119.jpg,49306,122640
2122.jpg,2122.jpg,2221,157132
2193.jpg,2193.jpg,6073,161850
2206.jpg,2206.jpg,196382,898275
2118.jpg,2118.jpg,14269,136120
2056.jpg,2056.jpg,4426,133903
2096.jpg,2096.jpg,2590,158976
2187.jpg,2187.jpg,2413,138355
2061.jpg,2061.jpg,41474,744744
2191.jpg,2191.jpg,5503,160632
2161.jpg,2161.jpg,3889,158208
1959.jpg,1959.jpg,9130,134970
2016.jpg,2016.jpg,3573,134480
2088.jpg,2088.jpg,10489,132020
1986.jpg,1986.jpg,25749,79734
2139.jpg,2139.jpg,12105,143220
2192.jpg,2192.jpg,7863,159005
2148.jpg,2148.jpg,6917,132192
2072.jpg,2072.jpg,4932,142197
2040.jpg,2040.jpg,2168,147833
2155.jpg,2155.jpg,14165,712050
1980.jpg,1980.jpg,20528,130471
2023.jpg,2023.jpg,18858,608798
1989.jpg,1989.jpg,64457,136863
1972.jpg,1972.jpg,9997,138580
2013.jpg,2013.jpg,4665,146673
2210.jpg,2210.jpg,26815,777170
2182.jpg,2182.jpg,7019,124722
2196.jpg,2196.jpg,3594,84390
2125.jpg,2125.jpg,12943,641190
1977.jpg,1977.jpg,67052,135762
2065.jpg,2065.jpg,16250,94575
2022.jpg,2022.jpg,26296,605334
2130.jpg,2130.jpg,5508,127464
2129.jpg,2129.jpg,7450,110825
2121.jpg,2121.jpg,5288,93925
2124.jpg,2124.jpg,17123,805560
2051.jpg,2051.jpg,4652,137685
2024.jpg,2024.jpg,21155,611940
2086.jpg,2086.jpg,27125,873108
2059.jpg,2059.jpg,102209,738450
2015.jpg,2015.jpg,9516,133496
2057.jpg,2057.jpg,5330,134397
2102.jpg,2102.jpg,7839,225816
2104.jpg,2104.jpg,9770,224652
2036.jpg,2036.jpg,6193,90228
2203.jpg,2203.jpg,1892,142688
1991.jpg,1991.jpg,5016,144622
2009.jpg,2009.jpg,10862,133824
2068.jpg,2068.jpg,11294,146231
1978.jpg,1978.jpg,1202,135300
2198.jpg,2198.jpg,17746,145152
1966.jpg,1966.jpg,86132,125147
2183.jpg,2183.jpg,4331,126140
2186.jpg,2186.jpg,2354,138844
1981.jpg,1981.jpg,24435,686488
2084.jpg,2084.jpg,38550,135960
1974.jpg,1974.jpg,10112,59212
2137.jpg,2137.jpg,43011,165750
2033.jpg,2033.jpg,12881,131109
2037.jpg,2037.jpg,2449,88755
2171.jpg,2171.jpg,39509,188742
2070.jpg,2070.jpg,5060,153360
2166.jpg,2166.jpg,15264,190734
2132.jpg,2132.jpg,2161,143374
2011.jpg,2011.jpg,2288,148176
2113.jpg,2113.jpg,16487,138276
2004.jpg,2004.jpg,1728,143031
1984.jpg,1984.jpg,94975,595350
1996.jpg,1996.jpg,51914,125800
2043.jpg,2043.jpg,5936,146448
2087.jpg,2087.jpg,37482,851460
2062.jpg,2062.jpg,54655,719852
2035.jpg,2035.jpg,6234,75690
2044.jpg,2044.jpg,9703,120960
2014.jpg,2014.jpg,9773,137496
1988.jpg,1988.jpg,12318,139104
2156.jpg,2156.jpg,16291,137685
2097.jpg,2097.jpg,995,126750
2089.jpg,2089.jpg,11699,133824
2175.jpg,2175.jpg,12981,633949
1967.jpg,1967.jpg,14167,88145
2021.jpg,2021.jpg,22532,612480
2002.jpg,2002.jpg,6875,149818
2073.jpg,2073.jpg,4066,143448
2154.jpg,2154.jpg,62775,136606
2039.jpg,2039.jpg,5637,74016
2204.jpg,2204.jpg,1906,142614
2173.jpg,2173.jpg,12437,194610
2074.jpg,2074.jpg,10967,144005
2010.jpg,2010.jpg,4817,136416
2209.jpg,2209.jpg,3355,126140
2115.jpg,2115.jpg,18324,160512
2180.jpg,2180.jpg,13193,737765
2031.jpg,2031.jpg,17911,847628
2026.jpg,2026.jpg,9875,136863
2080.jpg,2080.jpg,24879,783640
2167.jpg,2167.jpg,10033,194111
2005.jpg,2005.jpg,2131,136776
2069.jpg,2069.jpg,7268,143092
1979.jpg,1979.jpg,9969,70805
2071.jpg,2071.jpg,4214,151281
1983.jpg,1983.jpg,11482,136530
2202.jpg,2202.jpg,6511,179304
1960.jpg,1960.jpg,1615,116754
2099.jpg,2099.jpg,3573,144391
2145.jpg,2145.jpg,1870,124752
2027.jpg,2027.jpg,10144,140760
2101.jpg,2101.jpg,3275,154504
2075.jpg,2075.jpg,7481,124124
2116.jpg,2116.jpg,19147,158945
2090.jpg,2090.jpg,6921,126140
2093.jpg,2093.jpg,4628,85824
2157.jpg,2157.jpg,9733,126480
2000.jpg,2000.jpg,6432,177628
1965.jpg,1965.jpg,29103,90601
2133.jpg,2133.jpg,9654,160746
2007.jpg,2007.jpg,9739,156591
2064.jpg,2064.jpg,7728,116955
2052.jpg,2052.jpg,6090,135630
2147.jpg,2147.jpg,4098,151916
2149.jpg,2149.jpg,21805,136197
1963.jpg,1963.jpg,4972,73168
1962.jpg,1962.jpg,296810,446190
2197.jpg,2197.jpg,20369,78861
2181.jpg,2181.jpg,107342,704811
2168.jpg,2168.jpg,10927,192726
1976.jpg,1976.jpg,2285,118779
2151.jpg,2151.jpg,3321,134480
2188.jpg,2188.jpg,4363,144480
2172.jpg,2172.jpg,8834,191117
2025.jpg,2025.jpg,21584,606200
2045.jpg,2045.jpg,6184,118314
2153.jpg,2153.jpg,39003,138096
2047.jpg,2047.jpg,1379,139740
2117.jpg,2117.jpg,42583,157766
2120.jpg,2120.jpg,22545,122610
1973.jpg,1973.jpg,10823,142572
2046.jpg,2046.jpg,3883,138096
2190.jpg,2190.jpg,7707,161348
2201.jpg,2201.jpg,18634,177744
1971.jpg,1971.jpg,28136,142760
2138.jpg,2138.jpg,39781,144724
2106.jpg,2106.jpg,5846,78960
2077.jpg,2077.jpg,11785,125460
2127.jpg,2127.jpg,10332,114235
1970.jpg,1970.jpg,3300,176576
2178.jpg,2178.jpg,36916,722742
2179.jpg,2179.jpg,37761,704811
2103.jpg,2103.jpg,7357,224652
2001.jpg,2001.jpg,3584,137034
2053.jpg,2053.jpg,7075,135788
2063.jpg,2063.jpg,7514,118320
2082.jpg,2082.jpg,5499,201483
2169.jpg,2169.jpg,11636,192944
2112.jpg,2112.jpg,45385,741312
1998.jpg,1998.jpg,7044,173536
2146.jpg,2146.jpg,4220,155105
2012.jpg,2012.jpg,5654,152712
2128.jpg,2128.jpg,7586,111540
2160.jpg,2160.jpg,5182,125460
2054.jpg,2054.jpg,8799,135531
2049.jpg,2049.jpg,20939,102588
2034.jpg,2034.jpg,11757,138096
2164.jpg,2164.jpg,18326,129368
2079.jpg,2079.jpg,13231,780022
2195.jpg,2195.jpg,2610,190806
2109.jpg,2109.jpg,28036,548085
1964.jpg,1964.jpg,4085,80262
2098.jpg,2098.jpg,4547,126074
2162.jpg,2162.jpg,31508,127720
2094.jpg,2094.jpg,21917,84966
2091.jpg,2091.jpg,5064,124830
2110.jpg,2110.jpg,162063,608330
2092.jpg,2092.jpg,4247,90770
2006.jpg,2006.jpg,3611,120085
1985.jpg,1985.jpg,8666,143286
2150.jpg,2150.jpg,57797,94792
1997.jpg,1997.jpg,7975,162255
2100.jpg,2100.jpg,5065,125541
2141.jpg,2141.jpg,9375,144336
2085.jpg,2085.jpg,43272,140833
1990.jpg,1990.jpg,8317,141040
2134.jpg,2134.jpg,7874,162360
2111.jpg,2111.jpg,46219,909873
1982.jpg,1982.jpg,40920,134561
2107.jpg,2107.jpg,45407,597240
2177.jpg,2177.jpg,34518,685719
1992.jpg,1992.jpg,25026,155660
2095.jpg,2095.jpg,8681,143936
1975.jpg,1975.jpg,40138,102900
2159.jpg,2159.jpg,1119,126852
2081.jpg,2081.jpg,5128,162581
2189.jpg,2189.jpg,11914,144768
2055.jpg,2055.jpg,11659,136530
2050.jpg,2050.jpg,3988,138355
2048.jpg,2048.jpg,2452,105930
2032.jpg,2032.jpg,9494,134724
2152.jpg,2152.jpg,3598,135219
2176.jpg,2176.jpg,5107,634035
2140.jpg,2140.jpg,27731,143616
2165.jpg,2165.jpg,15316,188244
2135.jpg,2135.jpg,12241,159720
2144.jpg,2144.jpg,1966,125829
2200.jpg,2200.jpg,20871,172304
2018.jpg,2018.jpg,26359,831342
2114.jpg,2114.jpg,13073,137685
2108.jpg,2108.jpg,23180,628494
2003.jpg,2003.jpg,5957,149385
2184.jpg,2184.jpg,54797,137350
2029.jpg,2029.jpg,115311,877836
2058.jpg,2058.jpg,5579,137685
2346.jpg,2346.jpg,21835,140828
2319.jpg,2319.jpg,768,135200
2401.jpg,2401.jpg,6780,172050
2243.jpg,2243.jpg,1684,126567
2239.jpg,2239.jpg,50807,137274
2327.jpg,2327.jpg,8990,143640
2340.jpg,2340.jpg,8790,143871
2267.jpg,2267.jpg,10512,84096
2389.jpg,2389.jpg,11008,142964
2303.jpg,2303.jpg,41255,281728
2312.jpg,2312.jpg,40477,190895
2400.jpg,2400.jpg,24913,159318
2308.jpg,2308.jpg,8137,149650
2270.jpg,2270.jpg,12396,87580
2390.jpg,2390.jpg,9773,140346
2307.jpg,2307.jpg,12150,139602
2364.jpg,2364.jpg,68667,138195
2246.jpg,2246.jpg,1668,123840
2330.jpg,2330.jpg,38661,137015
2226.jpg,2226.jpg,2909,132682
2374.jpg,2374.jpg,3489,187833
2266.jpg,2266.jpg,2743,134724
2285.jpg,2285.jpg,3155,147000
2334.jpg,2334.jpg,4313,113022
2335.jpg,2335.jpg,4859,115566
2265.jpg,2265.jpg,2211,136530
2280.jpg,2280.jpg,2577,136041
2220.jpg,2220.jpg,2649,207282
2332.jpg,2332.jpg,64944,831900
2393.jpg,2393.jpg,3387,133399
2294.jpg,2294.jpg,39233,131430
2377.jpg,2377.jpg,12896,98638
2387.jpg,2387.jpg,3699,136345
2410.jpg,2410.jpg,57732,155160
2379.jpg,2379.jpg,3802,96432
2268.jpg,2268.jpg,9352,85260
2251.jpg,2251.jpg,4406,118440
2368.jpg,2368.jpg,36899,162628
2256.jpg,2256.jpg,3343,152928
2388.jpg,2388.jpg,27252,138690
2236.jpg,2236.jpg,32158,137529
2305.jpg,2305.jpg,16072,599325
2252.jpg,2252.jpg,7823,125668
2366.jpg,2366.jpg,17156,152143
2232.jpg,2232.jpg,4575,135379
2323.jpg,2323.jpg,19393,138624
2344.jpg,2344.jpg,16519,152574
2283.jpg,2283.jpg,16426,797538
2248.jpg,2248.jpg,2188,135300
2337.jpg,2337.jpg,5908,136272
2286.jpg,2286.jpg,11130,716384
2328.jpg,2328.jpg,283951,918400
2386.jpg,2386.jpg,7942,146692
2338.jpg,2338.jpg,15349,140007
2402.jpg,2402.jpg,7694,171216
2259.jpg,2259.jpg,6940,133743
2309.jpg,2309.jpg,18409,124726
2325.jpg,2325.jpg,23286,149040
2384.jpg,2384.jpg,47545,659846
2397.jpg,2397.jpg,29375,142140
2375.jpg,2375.jpg,52365,886800
2406.jpg,2406.jpg,4491,139256
2311.jpg,2311.jpg,29017,144768
2407.jpg,2407.jpg,5467,156980
2290.jpg,2290.jpg,75601,481925
2409.jpg,2409.jpg,2278,123552
2282.jpg,2282.jpg,57790,146200
2363.jpg,2363.jpg,4028,799596
2279.jpg,2279.jpg,1495,137685
2299.jpg,2299.jpg,1489,142680
2260.jpg,2260.jpg,1633,138276
2244.jpg,2244.jpg,1563,123760
2301.jpg,2301.jpg,81605,214434
2339.jpg,2339.jpg,29853,132682
2288.jpg,2288.jpg,29979,137256
2291.jpg,2291.jpg,32623,494577
2316.jpg,2316.jpg,22875,137350
2329.jpg,2329.jpg,16946,140365
2223.jpg,2223.jpg,2530,211578
2336.jpg,2336.jpg,3693,137350
2233.jpg,2233.jpg,2067,136290
2289.jpg,2289.jpg,84059,448472
2228.jpg,2228.jpg,3137,137015
2261.jpg,2261.jpg,2125,135710
2317.jpg,2317.jpg,798,127078
2240.jpg,2240.jpg,16782,137350
2324.jpg,2324.jpg,28614,164749
2348.jpg,2348.jpg,13039,136214
2249.jpg,2249.jpg,5400,123090
2273.jpg,2273.jpg,5566,172520
2347.jpg,2347.jpg,16522,339967
2234.jpg,2234.jpg,1383,135710
2297.jpg,2297.jpg,7759,214236
2351.jpg,2351.jpg,11475,125644
2413.jpg,2413.jpg,9011,142002
2222.jpg,2222.jpg,2083,211140
2367.jpg,2367.jpg,52338,154947
2321.jpg,2321.jpg,23217,123188
2257.jpg,2257.jpg,11897,140696
2247.jpg,2247.jpg,2218,136703
2356.jpg,2356.jpg,9185,137776
2333.jpg,2333.jpg,114661,904195
2381.jpg,2381.jpg,173987,676780
2295.jpg,2295.jpg,10794,144210
2216.jpg,2216.jpg,18290,138096
2281.jpg,2281.jpg,1896,137780
2300.jpg,2300.jpg,1943,131528
2212.jpg,2212.jpg,45757,797500
2269.jpg,2269.jpg,12079,83520
2395.jpg,2395.jpg,5116,83160
2225.jpg,2225.jpg,2675,208593
2304.jpg,2304.jpg,13850,261392
2342.jpg,2342.jpg,2257,145180
2310.jpg,2310.jpg,39883,134136
2214.jpg,2214.jpg,17987,137685
2211.jpg,2211.jpg,44008,767988
2271.jpg,2271.jpg,5436,66937
2369.jpg,2369.jpg,4614,149385
2314.jpg,2314.jpg,2390,123554
2213.jpg,2213.jpg,37481,790250
2358.jpg,2358.jpg,63655,133903
2250.jpg,2250.jpg,5265,115519
2345.jpg,2345.jpg,19981,122265
2263.jpg,2263.jpg,2551,141622
2365.jpg,2365.jpg,3176,137350
2229.jpg,2229.jpg,4645,140420
2394.jpg,2394.jpg,8022,135660
2353.jpg,2353.jpg,16518,111756
2302.jpg,2302.jpg,21633,264554
2396.jpg,2396.jpg,1992,136416
2258.jpg,2258.jpg,10376,134808
2245.jpg,2245.jpg,9945,123420
2404.jpg,2404.jpg,25387,861126
2360.jpg,2360.jpg,5663,490314
2405.jpg,2405.jpg,27876,863880
2238.jpg,2238.jpg,39826,135788
2331.jpg,2331.jpg,69298,926739
2408.jpg,2408.jpg,8410,156912
2215.jpg,2215.jpg,8533,137196
2326.jpg,2326.jpg,3601,140904
2341.jpg,2341.jpg,6322,144892
2315.jpg,2315.jpg,10831,139469
2254.jpg,2254.jpg,6258,132854
2298.jpg,2298.jpg,10794,213983
2292.jpg,2292.jpg,62005,203685
2371.jpg,2371.jpg,16531,135300
2398.jpg,2398.jpg,8820,133062
2242.jpg,2242.jpg,3035,160128
2221.jpg,2221.jpg,4615,208893
2412.jpg,2412.jpg,6561,119355
2218.jpg,2218.jpg,2027,144816
2373.jpg,2373.jpg,5805,154009
2403.jpg,2403.jpg,7181,157932
2357.jpg,2357.jpg,5369,143175
2391.jpg,2391.jpg,62090,158911
2235.jpg,2235.jpg,4153,138432
2274.jpg,2274.jpg,3696,92538
2272.jpg,2272.jpg,4950,170781
2361.jpg,2361.jpg,52809,708768
2349.jpg,2349.jpg,22296,132925
2253.jpg,2253.jpg,7475,128865
2293.jpg,2293.jpg,2548,141694
2318.jpg,2318.jpg,584,126712
2306.jpg,2306.jpg,15625,59690
2383.jpg,2383.jpg,14255,716352
2237.jpg,2237.jpg,26374,138096
2231.jpg,2231.jpg,2852,134890
2296.jpg,2296.jpg,89214,529820
2382.jpg,2382.jpg,84398,749914
2378.jpg,2378.jpg,4382,97500
2278.jpg,2278.jpg,19225,425568
2399.jpg,2399.jpg,17746,163068
2392.jpg,2392.jpg,41541,166320
2350.jpg,2350.jpg,18023,131752
2411.jpg,2411.jpg,82353,120085
2355.jpg,2355.jpg,30728,139469
2219.jpg,2219.jpg,2791,200674
2343.jpg,2343.jpg,33873,149296
2224.jpg,2224.jpg,2751,212613
2362.jpg,2362.jpg,60497,705188
2262.jpg,2262.jpg,1692,144136
2287.jpg,2287.jpg,6859,690624
2354.jpg,2354.jpg,13793,118104
2241.jpg,2241.jpg,3074,138096
2284.jpg,2284.jpg,2888,160776
2264.jpg,2264.jpg,6232,142270
2322.jpg,2322.jpg,13239,143400
2385.jpg,2385.jpg,147000,840750
2227.jpg,2227.jpg,4059,138580
2255.jpg,2255.jpg,7120,136017
2372.jpg,2372.jpg,1152,133900
2275.jpg,2275.jpg,3899,93174
2359.jpg,2359.jpg,63086,164540
2320.jpg,2320.jpg,20367,113230
2230.jpg,2230.jpg,2028,136197
2276.jpg,2276.jpg,8966,91324
2380.jpg,2380.jpg,33382,94792
2376.jpg,2376.jpg,49657,985324
2217.jpg,2217.jpg,4019,146016
2352.jpg,2352.jpg,5489,122512
2370.jpg,2370.jpg,39281,119160
2277.jpg,2277.jpg,7309,89879
2313.jpg,2313.jpg,20294,198779
2551.jpg,2551.jpg,3839,157000
2578.jpg,2578.jpg,4705,134640
2508.jpg,2508.jpg,7806,153027
2613.jpg,2613.jpg,12271,157136
2555.jpg,2555.jpg,172062,843249
2458.jpg,2458.jpg,10422,176943
2601.jpg,2601.jpg,4479,129444
2420.jpg,2420.jpg,12417,128160
2515.jpg,2515.jpg,31059,138444
2609.jpg,2609.jpg,23417,157248
2524.jpg,2524.jpg,893,136206
2499.jpg,2499.jpg,29926,150552
2574.jpg,2574.jpg,12149,109536
2488.jpg,2488.jpg,1988,128928
2446.jpg,2446.jpg,38850,661986
2630.jpg,2630.jpg,5154,139400
2550.jpg,2550.jpg,30625,138567
2436.jpg,2436.jpg,2168,138432
2480.jpg,2480.jpg,16487,164844
2604.jpg,2604.jpg,84908,148096
2494.jpg,2494.jpg,2405,132275
2572.jpg,2572.jpg,13855,320436
2597.jpg,2597.jpg,183291,906246
2634.jpg,2634.jpg,9715,132065
2512.jpg,2512.jpg,33128,126945
2629.jpg,2629.jpg,971,138507
2474.jpg,2474.jpg,8194,125972
2471.jpg,2471.jpg,11062,136960
2456.jpg,2456.jpg,9727,120807
2448.jpg,2448.jpg,16798,134310
2439.jpg,2439.jpg,51922,136290
2423.jpg,2423.jpg,27068,138690
2547.jpg,2547.jpg,29906,124950
2565.jpg,2565.jpg,42309,155088
2519.jpg,2519.jpg,30237,132925
2611.jpg,2611.jpg,32684,131461
2618.jpg,2618.jpg,8425,858165
2556.jpg,2556.jpg,183183,807590
2431.jpg,2431.jpg,28653,140080
2635.jpg,2635.jpg,5942,137760
2631.jpg,2631.jpg,14320,75690
2543.jpg,2543.jpg,21652,118664
2638.jpg,2638.jpg,1994,137088
2567.jpg,2567.jpg,4409,144075
2561.jpg,2561.jpg,18700,556471
2506.jpg,2506.jpg,1578,188708
2563.jpg,2563.jpg,6176,126024
2505.jpg,2505.jpg,1701,185878
2490.jpg,2490.jpg,68825,146365
2487.jpg,2487.jpg,895,138242
2477.jpg,2477.jpg,16588,135408
2614.jpg,2614.jpg,21060,588014
2444.jpg,2444.jpg,2226,72416
2532.jpg,2532.jpg,4401,120908
2573.jpg,2573.jpg,21940,147549
2443.jpg,2443.jpg,3426,139776
2608.jpg,2608.jpg,2801,134792
2495.jpg,2495.jpg,1409,128612
2526.jpg,2526.jpg,11391,106650
2507.jpg,2507.jpg,78042,158360
2427.jpg,2427.jpg,1763,153120
2459.jpg,2459.jpg,3623,169830
2467.jpg,2467.jpg,39555,618150
2537.jpg,2537.jpg,31828,133416
2415.jpg,2415.jpg,30228,141588
2591.jpg,2591.jpg,7181,138312
2422.jpg,2422.jpg,16992,138355
2549.jpg,2549.jpg,17497,140283
2632.jpg,2632.jpg,8523,76329
2521.jpg,2521.jpg,28817,135960
2620.jpg,2620.jpg,164433,559438
2633.jpg,2633.jpg,2831,139320
2616.jpg,2616.jpg,5986,137058
2587.jpg,2587.jpg,39093,154717
2463.jpg,2463.jpg,1560,124916
2606.jpg,2606.jpg,15540,832158
2419.jpg,2419.jpg,1723,138020
2619.jpg,2619.jpg,11304,142259
2498.jpg,2498.jpg,24821,111360
2517.jpg,2517.jpg,47803,138768
2566.jpg,2566.jpg,20863,143899
2513.jpg,2513.jpg,39062,125766
2577.jpg,2577.jpg,316190,864240
2590.jpg,2590.jpg,88246,156940
2600.jpg,2600.jpg,1628,134532
2516.jpg,2516.jpg,12928,136863
2461.jpg,2461.jpg,4489,131544
2538.jpg,2538.jpg,23087,808128
2426.jpg,2426.jpg,38781,174124
2595.jpg,2595.jpg,1460,129920
2533.jpg,2533.jpg,3045,134717
2462.jpg,2462.jpg,41197,167601
2628.jpg,2628.jpg,10124,139536
2553.jpg,2553.jpg,7718,135219
2497.jpg,2497.jpg,6104,143104
2594.jpg,2594.jpg,58259,157504
2452.jpg,2452.jpg,2291,140292
2438.jpg,2438.jpg,21601,137608
2445.jpg,2445.jpg,24011,139668
2523.jpg,2523.jpg,39084,137685
2534.jpg,2534.jpg,3855,132762
2464.jpg,2464.jpg,4472,137388
2542.jpg,2542.jpg,29494,136452
2585.jpg,2585.jpg,25976,104351
2612.jpg,2612.jpg,6383,138993
2544.jpg,2544.jpg,17410,138040
2528.jpg,2528.jpg,1986,133986
2637.jpg,2637.jpg,2712,138170
2564.jpg,2564.jpg,3487,123895
2557.jpg,2557.jpg,37066,880380
2434.jpg,2434.jpg,36767,793969
2447.jpg,2447.jpg,61223,598504
2451.jpg,2451.jpg,9610,138330
2554.jpg,2554.jpg,9344,103037
2429.jpg,2429.jpg,7692,133672
2541.jpg,2541.jpg,41257,141440
2496.jpg,2496.jpg,23502,133008
2599.jpg,2599.jpg,321804,738048
2441.jpg,2441.jpg,3049,133575
2450.jpg,2450.jpg,6358,196735
2475.jpg,2475.jpg,21656,136857
2437.jpg,2437.jpg,90092,129870
2500.jpg,2500.jpg,25658,155067
2621.jpg,2621.jpg,21870,130698
2472.jpg,2472.jpg,14405,143380
2493.jpg,2493.jpg,4231,132534
2522.jpg,2522.jpg,39405,138689
2435.jpg,2435.jpg,67389,813600
2479.jpg,2479.jpg,17785,135877
2465.jpg,2465.jpg,67741,165784
2623.jpg,2623.jpg,3986,110544
2552.jpg,2552.jpg,8508,141174
2430.jpg,2430.jpg,2878,136680
2476.jpg,2476.jpg,14701,135538
2540.jpg,2540.jpg,8639,44197
2586.jpg,2586.jpg,17124,167601
2558.jpg,2558.jpg,3076,110840
2636.jpg,2636.jpg,22032,136822
2562.jpg,2562.jpg,5022,133892
2481.jpg,2481.jpg,216056,936285
2581.jpg,2581.jpg,8713,135960
2539.jpg,2539.jpg,23369,818376
2580.jpg,2580.jpg,22416,140529
2417.jpg,2417.jpg,7319,136452
2593.jpg,2593.jpg,11401,147147
2568.jpg,2568.jpg,993,148248
2639.jpg,2639.jpg,49759,156972
2428.jpg,2428.jpg,17267,168870
2617.jpg,2617.jpg,249554,768066
2602.jpg,2602.jpg,90841,948409
2610.jpg,2610.jpg,17133,129744
2529.jpg,2529.jpg,50688,133574
2535.jpg,2535.jpg,6912,134232
2504.jpg,2504.jpg,19419,873896
2598.jpg,2598.jpg,45164,639432
2440.jpg,2440.jpg,2228,136539
2433.jpg,2433.jpg,63691,684454
2416.jpg,2416.jpg,31559,142830
2546.jpg,2546.jpg,5319,75260
2570.jpg,2570.jpg,11837,104304
2615.jpg,2615.jpg,29968,591789
2470.jpg,2470.jpg,3115,142661
2421.jpg,2421.jpg,16669,130272
